Year,"Header","Source","URL"
2010,"Таможенное оформление","Реклама · alet-broker.ru","http://bs.yandex.ru/count/LDV6axdM_XS40000gOA0Zhy2s6m5XPmf39K1cm9kGxS18uYo_zh61ecwGhoS0vX8dQXmMHMcWmYAleDAQGIziVpjPGIg0QMYzL47lAXFJWUD0P6_Lu2G1u-urI1439-zp1sa0fE53Pa5GeoG_tYsc4majP337g2RS8QlaFzuiv0k8hIGmnxPct26sf0k8fISdLIdWnAek8whZGAX-hmCjNdt2-SFem6am00001q4hkspmFYwbo6oiG6oe1000hceS5aLmV__________3yByiTpA23DFvWF5Zm_I__________yFq___________3teS"
2010,"Экспорт в Европу","Реклама · btline.info","http://bs.yandex.ru/count/LDV6ayeK5wK40000gOA0Zhy2s6m5XPmf39K1cm9kGxS18pA8ix5ByGA9fLI06PW7dQeZhWUcBegq_PAz0Rsy4Dq40ge1fQf6pWED0P6_Lu2G1u-u3P9T29-u7-LS1PE53Pa5GeoOSoMsb3mBjPY52Q2G62wlc7Cbiv2u2xIOXGdPa1Wksf2u2vIRTtsdWJkea6GseVgy3BLvzmld3wC1fC00000T1Axjiy3ukfSXih41ig0m00AvgYEk1y7__________m_2_B7SoWWpJ-O3n075Z0_I__________yFq___________3tmR"
2010,"Экспорт из России","Реклама · globusved.ru","http://bs.yandex.ru/count/LDV6amStGwC40000gOA0Zhy2s6m5XPmf39K1cm9kGxS18pE8l8Jja0M9kZRFO0AO1vsWuZ0JfbYAl9ok4mAzkjKkMGAg0QMa5Si4lANEqGID0P6_Lu2G1u-u3P9T29-u7-LS1PE53Pa5GeoGKmUWa4mThv1J1zcGJ1sKcD-jfvsO0QYrmwXR0w7wl0orUVSBvm-Z0QJ000007GIkxRF0-BgN8RAn0RAW4002kQ3YC1F1__________yFmlontCe8Cq_c0yG1nOyFql__________3zF__________mzv6W00"
2010,"Экспорт газа из России к 2018 году ...","www.msn.com/ru-ru/news/other/...","http://www.msn.com/ru-ru/news/other/СЌРєСЃРїРѕСЂС‚-РіР°Р·Р°-РёР·-СЂРѕСЃСЃРёРё-Рє-2018-РіРѕРґСѓ-РІС‹СЂР°СЃС‚РµС‚-РґРѕ-1801-РјРёР»Р»РёР°СЂРґРѕРІ-РєСѓР±РѕРІ/ar-BBkkK8n"
2010,"Экспорт природного газа из России","www.newsruss.ru/doc/index.php/Экспорт_природного...","http://www.newsruss.ru/doc/index.php/%D0%AD%D0%BA%D1%81%D0%BF%D0%BE%D1%80%D1%82_%D0%BF%D1%80%D0%B8%D1%80%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B3%D0%B0%D0%B7%D0%B0_%D0%B8%D0%B7_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8"
2010,"Экспорт Российской Федерации ...","www.cbr.ru/statistics/credit_statistics/print.asp?file=gas.htm","http://www.cbr.ru/statistics/credit_statistics/print.asp?file=gas.htm"
2010,"Газпром — Википедия","ru.wikipedia.org › 2001 › 2003 годах","https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B7%D0%BF%D1%80%D0%BE%D0%BC"
2010,"Экспорт газа из РФ к 2035 году ...","www.msn.com/ru-ru/news/other/экспорт-газа-из-рф-к...","http://www.msn.com/ru-ru/news/other/%d1%8d%d0%ba%d1%81%d0%bf%d0%be%d1%80%d1%82-%d0%b3%d0%b0%d0%b7%d0%b0-%d0%b8%d0%b7-%d1%80%d1%84-%d0%ba-2035-%d0%b3%d0%be%d0%b4%d1%83-%d0%bc%d0%be%d0%b6%d0%b5%d1%82-%d0%b2%d1%8b%d1%80%d0%b0%d1%81%d1%82%d0%b8-%d0%b2-15-%d1%80%d0%b0%d0%b7%d0%b0-%d0%b4%d0%be-282-317-%d0%bc%d0%bb%d1%80%d0%b4-%d0%ba%d1%83%d0%b1%d0%be%d0%bc%d0%b5%d1%82%d1%80%d0%be%d0%b2/ar-AAemT2T"
2010,"Россия увеличила импорт и ...","lenta.ru/news/2012/12/03/gas","http://lenta.ru/news/2012/12/03/gas/"
2010,"Газпром Экспорт — Википедия","https://ru.wikipedia.org/wiki/Газпром_Экспорт","https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B7%D0%BF%D1%80%D0%BE%D0%BC_%D0%AD%D0%BA%D1%81%D0%BF%D0%BE%D1%80%D1%82"
